"A","B","C","D"
1.36065244853001,2.21789633833214,1.00774592006759,-0.222433616637224
-0.600259587147127,,,
2.18733299301658,1.28977476197743,-1.21820991441122,
,,,
,0.678803616198157,,-1.14908514726951
,-4.45531169920744,-2.15935920310234,-4.28657028210452
,,,
,,-0.0995904316390441,
-0.246691878462374,,0.455416627732626,-0.0349579134317008
-0.347542599397733,0.370365210056953,1.36998996885135,2.05195212361899
,,0.911347896947853,0.586031987338065
-0.0450277248089203,,,0.306626112885861
-0.784904469457076,0.969321595943413,,0.253271432148895
,,0.0762636100436516,
-0.380226520287762,,0.49980868854526,
0.918996609060766,0.519301687028235,,
-0.575346962608392,,-0.673173462420634,
,,,
,-2.48491953247809,,
,0.472391358949058,0.675508151078739,0.978658053011325
0.519407203943462,,-0.641849369670802,
0.301153362166714,,-2.76780957091076,
,,-0.468295912940763,-0.843389110825371
,,0.143525212645844,-1.4224698936092
-0.849704346033582,,,
,,-0.0309996347751117,-0.314488013843593
,,,-2.0481441210103
-0.947474614184802,,-0.481259088306004,
-0.490557443700668,-0.65999246731881,,-0.4008143713825
-0.256092192198247,,,0.978544491607187
1.84386200523221,2.40126320975668,-0.255294615868917,1.4268316458691
,-2.65939349670763,,
0.235386572284857,,,
0.0779608495637108,-0.0384399506153509,,-2.1998035992811
,,,1.4067188547468
,-0.791022913684011,,-0.14867207617324
,0.880724550632726,,
,-0.360686477646606,,
,,-2.10300253136773,-1.99922890688734
-0.422496832339625,0.533207023901923,-0.357462049881763,1.33243787547154
-2.05324722154052,-4.58013067598023,,
,,-1.49715044241428,-1.43394201659505
-1.46064007092482,,0.200368707844315,0.84759364038925
0.739947510877334,,,-0.284697286843644
,,0.682696072673157,
-1.4438931609718,,,
,-0.290296033212139,,2.4306357198308
-0.262197489402468,,,1.74357101072899
,-2.99782614608394,,
,-0.795830105721697,,
,,,
,,-0.38306246545579,
,,-0.00847366732933724,
0.687916772975828,-0.11314544995973,0.510210369755388,2.4239595678428
,,-0.932011875536578,
-1.28703047603518,,-0.257446180502955,
,,0.117822917397573,
0.76904224100091,,0.904039400865661,
0.332202578950118,0.412595450541679,,
-1.00837660827701,,-0.164666188582273,0.762176572444505
,,,0.281998826750866
-0.280395335170247,-0.338832163257048,,0.246464103805479
,-0.755830874798591,-0.782786964697379,-0.931458716856909
-0.372438756103829,2.42008065236411,,
0.976973386685621,,,
-0.374580857767014,-0.539601412651064,0.480956832319121,
1.05271146557933,,,
,-0.0579794702944967,-0.23623050733255,-1.66308607357484
,,,1.69190566847661
,,,0.748055474542754
,-0.283204264307167,,
0.298227591540715,,,-0.508100971972562
,,,0.306125035841693
,,0.380271942097618,
,,,
,0.811597135235636,,1.76454150781359
,,0.505279341360395,
0.0652930335253153,,,-1.33011173541171
,,,0.632953988799245
,,-0.366424218527957,-1.81512044041167
-0.741336096272828,-0.163587820211093,,
,,-0.211550544960911,-2.61786857932662
,0.334830908302122,,-2.62010629941992
0.310480749443137,,,
0.436523478910183,,,2.09551169185776
,-0.320443338648344,-0.113792498019096,1.45205941060374
,,,1.26718945182977
1.26318517608949,,,-1.23499056034889
,0.603050008115606,,0.544789119727888
,,-0.563284077833947,
-0.236279568941097,0.737818333700117,,-0.659373725344708
-0.197175894348552,-0.661886372340797,-0.837416429622936,
,-0.221293090539038,,
0.0847372921971965,-1.75812041463658,-1.39904620866278,
0.754053785184521,,,
-0.499292017172261,-0.86199992600551,-1.34952395669583,-0.770783952411031
0.214445309581601,-0.190974533426829,,-0.647542776856877
-0.324685911490835,,,-0.268309239719273
,,,
,-0.877290665708579,,
-1.31080153332797,,,0.345358470808086
1.99721338474797,,,-2.68301692476953
,,0.593866190620004,
,-0.87957748361617,,
-0.611165916680421,1.67491322500354,1.43400702563628,1.54429911280247
-1.18548008459731,-0.358403081741805,-0.087559376766892,-0.189540539704947
2.19881034888372,,,
,,-0.381633376283053,-0.524820886244331
-0.265145056696353,1.06406064462264,0.935090159980893,1.70147267828972
0.54319405923209,,0.104233166376613,
,,-0.534854380219834,
-0.476246894615578,,0.0707816771213585,
,-0.492226005190405,,
,-0.516081407173045,1.68964793374587,0.624390026796037
,,1.02414917710077,0.0373193818405644
,-0.542425752837144,,0.477005263055285
,0.820357457083672,-0.0369867065743124,-0.826334162679267
,0.350584209083029,0.764976537359606,0.611391403621346
1.23247587848534,,,
-0.51606383094478,,0.214014312766981,1.03478156303147
-0.992507150392037,,,
,3.31592533176511,,3.15118194428955
,,0.633328387619904,0.0774707848814769
-0.723065969939874,-1.01624034055442,,
-1.23627311888329,,0.404707156876292,
,-2.03129872796804,,1.35617159564583
,,,0.725530773418643
,0.659741326458086,,-1.12686519742663
1.10984813892972,1.30033562837466,,-0.168983656747261
,,1.1538120715818,1.45999155305233
-0.363657297095253,-1.78811665376017,-1.25639300507855,-2.60531968339752
,,,1.06233946661614
,0.0153843246975713,,
,,,
,-0.133291752005264,,-2.28622479208578
,,,-0.276589894643639
1.95529396549246,,,
,-0.82414096618508,,
0.214538826629216,-0.206812442435966,0.680061627440306,
,-1.73364421402314,-0.0759604115168596,
,-0.255487599001653,,
,0.433521977462765,1.86726042151472,
-0.182925388372727,,,
0.418982404924464,,,
0.32430434416138,0.872845395419854,,
-0.781536487054751,,0.259658852527213,
,,,-0.953903289778508
-0.502198718342861,-0.684382779875016,,
1.49606066984635,3.13177656648354,,-0.458624332033103
,-2.01421737536775,,-2.02887607652894
,-0.614416945065348,-0.00958353392819738,-0.022570767581256
,,,-0.610999963425676
,0.736099071982108,0.0269994384694014,
,,,2.12308529426754
,,,
,,0.841009820282554,
-0.375602871669773,-0.429217740977948,-0.662610868541649,
-0.561876363549783,0.72947295060874,0.896689140266351,0.604791810305248
,,,
,,0.845817573469817,
,1.45653305564666,0.355093881174994,
-0.088565112138884,,,-0.647803772482737
1.08079949615152,-0.917249150220792,,
,1.55881394466232,-0.549859995779002,
,-0.749047164027116,-0.320303514255554,
-1.5329020028906,-0.71511340591192,1.69941740178558,2.36855436104428
,-0.217994651545248,,
-0.489870453138474,-1.8388317313829,,
0.0471544327615272,-0.58061330447646,,1.80448906457276
1.30019867766682,,1.2090469230093,
2.29307897383109,,-0.0120161097220343,
1.54758105898377,,,
-0.133150964328944,0.430881141768289,-0.062635941313421,0.650250992954358
-1.75652739555764,,1.1795813673444,1.45854371962596
,2.38893513074861,0.291337289957027,
0.0892072230732945,-0.226629181033998,-0.237791540686475,-0.479344001739656
0.845013004067436,,,
,1.92768004622794,,0.748687593442614
,2.18488276366547,0.5018334404075,0.64819179658126
,,1.51691082297951,
0.849643045633355,2.41340822202058,-0.408166800735112,-0.411816562671875
-0.446557216427222,,-0.194906387356991,
0.174802700161256,,-0.439528464011452,0.0864134049134938
0.0745511771737346,0.987718654601128,0.911126439095812,
0.428166764970505,0.038511153915778,,-0.864791177058632
,,,
,,,-2.38544227669098
,0.580319064675318,0.130681014649672,
0.386026568349676,0.754831222157315,,
-0.265651625278222,1.92227027618938,,
0.118144511046681,-1.33274841024404,-1.12657664362351,
,-0.0590264918087917,,-0.318706805997382
0.221019468561002,2.5794355734914,,-0.80380177810919
,0.541281784871328,-0.0232211708894189,-1.44732401278298
,0.662564115365869,0.409783671263781,
,1.22666471581232,,
,1.03863969597701,-0.205999413722254,
1.05418102337692,,,-0.677731270914294
1.14526311038036,0.0966768087564999,-0.615400155181687,
-0.577468001059557,-2.49183566736728,-2.18805274220316,-4.60327008089425
,3.20625957593059,-0.234911576739548,-0.903128463166099
0.066700870930183,-0.203341359163341,-0.0136346889626919,
,,,0.245238696215895
-1.35090268603071,,,0.995421315241452
0.0209835863542375,,,1.46077374857933
,0.143300273984578,-1.1410846391639,
-0.715242187222796,-0.602582554697846,0.507829491903781,0.150232443061409
-0.752688968217742,-1.8761661264049,-0.814478003804002,
-0.938538703606894,-0.35555916851581,0.275380742358604,
-1.05251327933874,-1.26395058621773,,
,0.0756357911029841,-1.31368875201348,0.623693597222154
,,,-0.156020116574074
,-1.72615263101809,,
0.211980433372292,1.21675508599468,0.617476455000004,
,,2.03573439062658,0.455260022843759
2.03757401824044,-1.5678834125219,,-2.44478358621566
,2.55126139710703,,
,0.654132493136282,,
-1.72673039911433,-1.1392593037095,,
,,,
-0.352046456582617,,1.52950149857165,-0.483241285670299
,1.8897802845283,,3.02665693524963
,-0.749489635661682,1.76746064517739,
-1.25864862806017,-3.343006918072,,-4.07931928616165
,,,-0.438330028685942
,,,
0.237430272491026,,,
1.21810861032581,-0.391655062108444,,
-1.33877428723497,-1.81585927269007,,
,1.84739699596458,,
-0.522912376313422,-2.24740502020675,,-1.83603506972688
,,0.384072202233825,
-0.0608219546600742,,-0.0522482619773513,
,1.77933156467246,0.991514234997062,3.12954830819638
1.33551761505939,,-1.04795091135148,-1.47483220590947
0.0072900903168988,0.142119381536535,-0.0775652009533576,
,3.20447913614361,,0.276847570783014
-1.18843403514798,,-1.84058321358534,-2.71171964488378
,,0.752368044369658,
1.51921771138818,2.83833862690767,,0.748432266520893
,1.04894994839693,,
,,-0.736455336294272,-1.40776333127824
,-1.71755924272097,,
,,0.22442431658117,
,,,
-0.101883255715222,0.279039223424817,0.239079764479267,
0.624187472020653,-1.1469086724403,,-0.27591299014997
,1.2721654068781,-0.312481443393862,-0.952205200281
,3.09151826361796,0.467480097536413,-0.162551902461467
,0.984318534053259,,1.38795839323013
,,0.595684162711867,
-1.75323735914227,-1.46676387751577,,
,,0.0392771213041178,
,-0.11461831556675,-1.15712023960104,
,-2.09268953951265,-1.16749535851437,
-0.17990623104754,,-0.986224035428927,
1.01494317274366,,-0.0496702558263262,
-1.99274848868858,-0.35456842201325,-0.087916195076764,-2.80180535675536
,1.86052556033755,,3.38413946545834
,2.04663436166598,,2.98032050240459
,-0.15593947314622,1.18082140774021,
0.333902942499225,0.0482959358456363,,
0.411429920615731,-0.312029230625521,-0.304788079825682,-0.722527953270997
-0.0330361592759917,0.716721531324032,,
,,,-0.926821083283534
2.57145814586664,,-0.918192213105982,-1.05819870770517
-0.2052992574682,,0.322670141131869,0.498842294690331
0.65119328158767,,-0.830974979963666,
0.273766491036548,2.21396202187651,,
,1.06346029985688,,0.113840479168648
0.817659446374088,,-0.0267341411058984,
-0.209793171228509,,-1.19366080142513,-1.80960583821351
0.378167772208507,-1.61621568218018,-1.29859014946584,
,-0.0702888217621546,0.665303040206519,1.14307802833542
0.856923010899318,,0.520534700823332,
,1.32142888094266,,
2.41677335378821,4.49827674704984,,
-1.65104889568819,,,
-0.463987242966015,,,
0.825379862759242,,0.823750059177032,
,0.447689110973237,,
-0.589481038515,0.5524070087676,-0.441745729086916,-1.4091547778135
-0.996780742207522,-1.59503393618898,,-0.954139267054118
,,,
-0.0143074131669134,1.28841298888649,,1.05476495086778
,-1.91237926151333,,-0.415104425933308
,,,
,,-1.11483526300817,
,3.12172860274471,1.84126191361468,3.17809402046525
-1.05501704260268,,0.41208244333947,
0.476133278302629,,-0.694884641588038,
,,,
0.456236403179813,,-0.818342179111205,
-1.13558847037434,-0.955552012293269,,-0.519448100072702
,,-0.8194059130974,
0.346103619553607,,,-0.534704157850417
,0.477547451707019,,
-2.15764633501528,-2.18886649346209,,0.934343810181945
0.884250820028209,1.74367321599544,,1.10479000924206
-0.829477611624518,-0.943791631603096,,
,,-3.26436129259309,
1.50390060900454,4.10675058206167,,1.88400011474625
,-2.68292331566452,,
0.845731540189296,,1.71791334346598,
,,-0.233811562740612,-0.211272045486885
,,,
,0.84052239179138,0.952831162945516,
,,,0.723026392157757
-0.634748264908909,,0.442861778894668,
-0.0288415529283144,1.45466766224754,,
0.67069596873393,,,
,2.23804945117365,1.82496907634588,0.228472336453053
-0.349754239211268,,-0.411800598360526,0.340555504456331
0.756406438545484,0.907782518191952,0.844686614048027,
,,0.723998844029858,1.46664284689928
,,,
0.492228570064431,,,2.78395343891307
0.267835015331683,0.695505508043665,,
,1.99159080148271,,
-0.12270866097738,0.373435896221575,,
,-0.800181761835229,0.683541635593746,0.65360888684143
-2.64314895202898,,,
-0.092941018479472,,,-0.558911626338941
0.430284696359987,,-1.00240016638196,
,1.34192920253464,-0.509290993486405,
-0.555278351313252,1.93079244938035,0.864390633985018,1.9625153324806
1.77950290977515,2.70470975426467,,
0.286424419628825,,0.0734557063491337,
,-0.315709730077421,,
,2.61547819358852,,
-0.718466221319259,-1.12914651563272,,
,-1.99704354329807,,-0.123054791685278
2.39745248004976,,,
0.011129187220888,,,
,,,
-1.43850664491452,,0.140743912641085,
-0.190516802042901,1.49697204446438,1.13886492106923,
,1.03161605990965,1.43703441916166,1.2998113710669
0.300038545205798,,0.777637402028006,0.0769778282550186
-1.00563625951084,,,
,-2.22812110757571,,-1.47121074843182
-1.07742065311198,,,
0.712703325244282,,-1.38129143725066,-0.4343728843688
,0.585144988156646,,
,,,0.719310638028546
,,0.794299372384835,
,,1.10635721206228,0.502296596871469
,,0.739848732153563,
,,-0.192644335621089,-0.33113974022332
,0.802291031931208,,
-0.645113956859792,,,0.335956736767461
,,1.2613377609423,
0.438818700714454,0.572550438918527,,0.192173422751424
,2.05113734132476,0.351699795782618,-0.932522794955978
,,,-0.22920843926228
-1.63637926805902,,,-2.67670655413551
,,-1.51604690235426,0.23525463843737
,,-1.9248554602129,-1.28015154352606
0.435288948907682,-0.196808343523761,,
0.71517840711106,,-1.26754547414993,-1.19757715408933
,2.10592516747409,1.82083309258907,
-2.66092279846568,,0.770383742482311,0.73047848772681
,2.55946271265832,,-0.122712678256866
-0.484987596562325,-1.47812856991733,-0.398540757134088,
0.230616830631202,,,
,2.02446331575651,,
,0.612697886664572,-0.773611497590118,
-0.348472448955611,,,
,,,
,-0.471426774694846,,
,,2.22480081877303,3.98481496509882
,0.331222085966302,0.974420224833761,
0.740900011274274,,0.590224361638857,
,,-0.516315670560838,0.447406185348973
,1.53646377190837,1.54770718873206,
,,0.822201514669597,0.316840195407014
,,-1.66999707610473,
-0.281482115038967,,-0.681197060148308,
,0.557456862770513,1.61939710660986,2.51893851874886
,-3.38745415073302,,
,,-0.440752907266762,
,3.30095323797246,0.134821540345589,0.20940203847505
1.71230497731928,,-1.13356493290285,
,,1.26076791778482,2.10522767178091
,0.919313143317612,-0.544524758193246,
-0.227684064895531,,-0.400822962764539,0.523074430325154
,-0.516282622712614,,-2.79820912786161
0.314057663506262,,,
1.32821469603699,0.988275869842792,-0.58622290572834,
,,-0.442929936262037,
0.712842320031113,0.261377660804868,-0.218075755810981,-0.963709842755909
0.778860029783535,,1.12769242726484,
,,,-1.03384992007371
-0.574394552184383,-2.10920545947415,-0.638481126777751,0.366394089217456
,2.13242138360476,0.0794081309748186,-0.0227895714906688
-0.380956739294013,,0.335468576836845,
-0.105784167649752,-0.490327669445106,-1.82818804651428,0.340408493875731
,0.453732533889828,,-2.0156787468959
,,0.044063621077813,
,,,0.992984709477435
,,0.209025651705873,2.3058043777813
,,,-3.20536110855843
,0.731771298559598,,-0.0570228164951201
,-0.747961334334013,0.969859161114395,
0.364114687355063,,,
0.552157714218558,-1.40354819268255,,
-0.601892845985016,2.27692828289256,,
-0.993698591098714,,-0.662967350872686,
1.0267850560749,1.30097316334636,,
,,-0.137837766229678,-0.576947000665527
,,-0.16817673667416,1.95801389392196
,1.41335955582544,0.57619298881224,-0.231072320604237
,0.848776888756994,,
-2.07075107054196,-0.473893996796448,,
0.150120131188143,,-0.809538126372768,0.620172475257694
,,,0.26356143092079
-0.097369267513081,,-0.308130235682242,-1.34412255367163
,,-0.0438239778552511,-1.40399576317143
,-1.51581139132211,,
,-0.063294595539873,,-0.296794560030441
-0.616435842873528,,-1.4339765327321,-2.50880267255546
,-1.27553430063492,-1.18437487077313,
,-0.0189776303579528,0.466978091389648,
0.310016986578952,,1.37245071049548,0.215164343173334
,,0.891390334549842,-0.536623029214806
-0.184308868842384,,0.755817256413849,0.465366465974755
0.967267260167914,,-1.55961175321549,-2.95691212788953
-0.108280091234486,,0.455421258883168,
-0.69842066759439,,,-1.15515254115045
-0.27594516842554,,0.0640311615053511,
,1.3594828536547,1.33781613034269,
0.550043961214136,-2.5118261796762,,
1.23667580008161,1.66781649789728,0.885322802880876,
0.139097857161771,-3.49583268244362,-1.82323613674189,-1.78974962771903
0.410275096490425,-1.25142236873924,,0.601839531189138
-0.558456912348133,1.30794998523825,0.223940254457225,-0.507166382424825
0.605370668930333,,,
-0.506333542189239,,,-0.119397635571204
-1.42056550469574,-2.35793938223145,-0.902847278578098,
0.127992965684126,-0.074607268712537,-0.0203457611404163,
,1.2006433173736,,0.566389315958736
,,0.853053787629553,
,2.95172166509342,-0.0902317780716566,
,,1.0042347285402,
-0.608557178316224,,0.181566042547825,1.46364891960906
-0.202240855110284,,,
-0.273248106811925,-1.67659527431615,0.0433313463789009,1.04324962206864
-0.468699779782087,0.926565332748005,1.14001166590257,2.47359861573259
,-0.642477959199367,-0.798052378208839,
,-3.41174188081522,,
,,,-0.56922087306993
0.864152486225893,1.44914915344508,-0.109987880800955,
-1.19862235906875,,,
0.639491997900534,,,0.80815702670157
,,,
-0.557215481941608,,,-0.586006347196846
,2.30665595686657,,0.447213838130355
-0.782201845619403,-0.733272649194092,1.40378143864409,0.850805778987744
,,0.837104051729313,-0.151578723805942
,,0.309084944947345,0.60425739931629
1.65191539162316,,,-0.579008761623966
,-3.99837939869807,,-2.51092160545064
,,-1.51231253448322,-1.01185237635097
,-2.16203495000273,-0.790613259523706,
,0.268168663867413,,-1.67041327126324
-0.629578742686005,,,
,-2.70581436140821,-0.956575187843633,-1.88716907179873
0.57872237461645,,0.307097345266483,-0.339880383120873
-1.08758071407693,-4.24381370042677,,
,4.45022377664814,,
,-2.25511649329679,-0.194542153187551,0.632056671183149
,,,
,,1.04294795599579,2.42120560420199
0.586735339092625,1.45105988034865,,3.05471163997834
-0.30174666386638,-0.16095875736441,0.773085825702324,-0.607846644648706
0.079501995328401,,,
0.961264151809677,,,
-1.45646591707643,,1.3217123045673,0.237517613217567
,1.29096621323402,,
,-0.731671455766833,,-1.26162640976341
,,1.89969733291589,
1.370003993971,,,1.47242713619975
0.673253863354836,,0.734370140695934,0.553691895171682
,,-1.27111474343939,
,,0.924610646634951,1.73951655240691
0.0261002253262418,,,-0.959252865938697
-0.316415868196993,1.90378363332657,,3.294512347449
-0.102346513520598,3.08313876869605,1.96369389087108,3.32861737344407
-1.18155922705569,,,
,,,-0.514093748177147
,,1.36610401449397,
,,1.10428654508333,2.16460608148206
,-0.242211466678297,0.0507649386429138,-0.967683538202977
,-2.6758023160089,,-0.672918175947043
,0.34889934332972,0.62927119718869,0.501183824455067
-1.31651040165169,,,0.665598772509989
,-5.65932275901778,,
,,,-1.67463119652322
,,0.5590555113877,
-0.285845423591384,0.271315983426535,-0.0213331048688559,1.9511047238509
0.504126254591608,-1.51295051622187,-0.75116981210796,
-1.15591652508367,0.129476000350686,,
-0.127148606825662,0.544402626137288,1.00673511580679,
,-3.5010069631569,0.285653622887703,1.36713152191263
1.18118089143852,0.275136420043492,,0.263148116931716
1.85991086154316,,-0.708129661971503,0.0432245175191083
,-0.600191664183334,,
-0.0273469664137418,-0.102145418336798,,
,0.767352192568954,,
-1.5160676231511,,0.818676379367284,
,,,
-0.210734180691776,-1.74537130151373,,-2.39536712037024
,,,
-1.41202579265831,,,-0.303154820873497
,,0.611884935403442,
,,,
-0.397030520327837,,2.56425841348438,3.86682096790213
,-0.800114505491292,-0.0415778079670667,0.28316679980957
1.6875894829457,,-0.208587193274977,
,-0.391689529535734,,-0.87116670405073
1.07494507727239,,-0.892852513844904,0.265605191555819
-2.60169967025765,,0.027607611677051,
,,,
-0.675482291592071,-1.46021542452375,,0.305410964359617
,0.651704778572891,0.919668000079733,
1.5466091542241,0.688242718598175,,-2.21734172163681
,-0.34027173582783,0.581129996694497,1.48717652126955
,1.73314406093659,-0.267146951423783,
,,,
0.178190188418023,,0.312331247260409,
-0.875255477495516,,,-0.768650637973101
,2.32086562487336,,
0.170588081840838,,1.61453726139819,
,,0.0360229251250465,1.68890466171845
,-0.179410552640404,1.23074877736792,
2.08671743449315,2.38245078834756,,0.70583166193622
-0.678503145418437,,,
,,,
0.533259362753652,2.00167310229104,,
,1.63164799847107,,-0.2060971049988
,,0.766862946773386,1.7915805734701
-1.94295641358195,,,
,-2.71936081854167,,
,-0.0639173009651499,0.12084126729857,0.581082563383389
,0.0649613182358262,-0.912624848872443,
,,-2.02011741669774,
,,,-0.905213077437439
0.271066756750545,-0.932367160734046,-1.47436869993154,-1.97132155709168
0.157353347216158,0.154730042777514,,-0.72689499713524
,0.499325296929133,,-0.331529638362769
,0.325761047135426,,
0.8993540532031,,-0.41622918347275,0.360528660089974
-0.830811527336248,-1.38812862024169,,-0.325193269080833
,,,-1.13743524387126
0.740814523725905,,-0.149141181245982,-0.179496164231494
,2.4470774658076,,
,0.264251118528661,,
0.107190407016153,2.66893283915454,0.754984938819397,2.2953171268992
,,,
,-1.62842840729613,,-1.0979149081357
,2.3633486546429,0.26429170181016,
-0.828174270396797,,-0.60861471401376,
,0.404471091875047,-0.185333570444502,-0.323433083343534
,3.0565499192052,1.16923044224215,1.9612648220072
,,,-2.3712281240816
,,,-0.917943756794687
0.863648434157753,,,
,,0.532590775983243,-0.128124611928522
,,-1.07355640887183,-3.42444325203901
,,0.384197576890263,1.31920465648348
-2.2490510903324,,,3.05462928211861
0.0315260045939917,,,-2.99514569843592
,0.69402389776287,,-0.942809132326165
-0.155345347144399,,,
0.568288620777075,0.0197896789438007,0.275321680513181,
,0.728783435130143,,-1.53094248605186
-0.517982430167822,-0.657369557889799,-1.12932407772789,
-0.29409532715611,-0.423079533755985,-0.462036614957025,0.00555460789775808
0.397842208800339,,,-0.952675095263362
,,,0.625325503747677
0.0912673834882354,,-0.766266039420025,
,,0.530292738255426,
,,-0.264820995169732,
,,,0.473693996665071
-0.853623696727242,-1.6055999286775,-0.642784278613871,-0.673158714647507
,,,1.3404252485353
,-0.0221166735765156,,
,1.54699321598956,,2.02544503600509
,-1.35046429159707,,
-0.996838982378005,1.33997345986824,0.746606051481751,
,,0.0702588608724181,1.27190819121408
,-2.16821734609177,,-0.657094414106771
-0.239029068152564,-1.46966467242031,,-2.48948402227013
,,-2.17338254785377,
-0.32132484216839,,0.936154259243359,
-2.07848926886002,,,
,,,
1.18718681065156,0.306206582943245,,
1.19160126851033,1.45894324364447,-0.0611797974767041,
,-3.282452008058,,
-1.54777654363757,-0.700218783674424,,
2.45806049186527,4.09067446661829,,
-0.162421942479419,,0.0849678922434273,
-0.0974512501056172,,,
,-1.99921605325242,-1.65775076771501,
-1.61403945661912,-1.89364494216507,1.63215881326579,1.54288467587465
,-1.37824642460784,1.72387456056887,
,,-1.57449711394856,-2.32025991819607
,0.300982400553597,,
0.118849433004561,,0.309272206782858,
,,,
,,-2.6381572318086,-1.64799993191669
,3.77602711813325,2.55197203166135,
,-1.43074670978392,,-2.80512392551973
,,-0.248479372941319,
,,-0.0406881205101021,
,2.51738741774787,-0.398490471846819,0.342235325322628
-0.212848278646528,,-0.630675545844059,
-0.0936367939110456,1.66742497512608,0.0562216773777784,-0.0286421263247904
,,,1.91897957464788
1.44146175605504,,,-0.212042326521899
,-0.135144148232581,-1.35716901815309,-0.607477804416976
0.834401567757039,0.398024894406522,,
,,,
0.373241434166406,,,2.41424328909966
,,,
,,,1.19903617089483
,-2.82101636641494,-0.982660639729565,-1.69477277140499
0.641830027651616,,,-2.61955597211249
-1.52931053118042,,,
,-1.07316253524556,,
,-2.1982384321386,-1.87483100549287,-2.26073233212935
,-0.143497048443189,-1.22879342112491,
0.189426237514811,,0.819352400125067,1.79528182194739
-0.732853806297125,-4.17075663252858,,-3.01086903702872
0.986365859895462,2.42358009581351,0.446756555341712,
1.73863376690625,,-1.42150267660051,0.0900107011250026
,1.3416876324887,,
,,,-0.663936514082521
,2.88942254219379,1.2545223354215,
-0.056055946186268,0.629870917390455,,0.644829647691108
,,-0.543791518525734,-1.35443774203454
,2.33933818512134,0.84202992586467,
,,-0.397512273945224,
-0.0752631976487263,,0.490873104387214,
1.0191570693309,,,
0.711601922486244,,-0.742336173897072,-1.71140366734217
,,,
2.38292669523033,,,
,,,
